"fips","year","percent_unemployed"
5043,"2014",8.5
5043,"2015",7.1
5045,"2007",4.4
5045,"2008",4.8
5045,"2009",6.9
5045,"2010",7.2
5045,"2011",7.2
5045,"2012",6.6
5045,"2013",6.6
5045,"2014",5.6
5045,"2015",4.8
5047,"2007",4.5
5047,"2008",4.5
5047,"2009",7.3
5047,"2010",7.7
5047,"2011",7.7
5047,"2012",7.1
5047,"2013",7.0
5047,"2014",5.7
5047,"2015",5.2
5049,"2007",5.0
5049,"2008",5.2
5049,"2009",7.5
5049,"2010",7.8
5049,"2011",7.8
5049,"2012",7.2
5049,"2013",7.0
5049,"2014",5.9
5049,"2015",5.4
5051,"2007",5.5
5051,"2008",5.6
5051,"2009",7.6
5051,"2010",8.5
5051,"2011",8.8
5051,"2012",7.9
5051,"2013",7.7
5051,"2014",6.4
5051,"2015",5.7
5053,"2007",4.9
5053,"2008",5.2
5053,"2009",7.1
5053,"2010",7.1
5053,"2011",7.4
5053,"2012",6.8
5053,"2013",6.6
5053,"2014",5.5
5053,"2015",4.7
5055,"2007",6.5
